# Summarize FastOrtho
# PYTHON VERSION: 3.7.12
# Script call:    03_summarize_fastortho.py
# Runtime:        01/05/2023 15:37:58
# ----------------
# Ortholog directory:/n/holylfs05/LABS/informatics/Users/gthomas/spiders/fastortho/16spec/
# Output file:      ../data/16spec/fastortho-summary-16spec.csv
# ----------------
inflation,genes,taxa
2,23,15
2,23,16
2,23,14
2,23,16
2,23,16
2,23,14
2,23,14
2,23,16
2,23,13
2,23,14
2,23,16
2,23,13
2,23,11
2,23,15
2,23,16
2,23,16
2,23,12
2,23,16
2,23,15
2,23,16
2,23,16
2,23,16
2,23,15
2,23,15
2,23,15
2,23,16
2,23,10
2,23,15
2,23,14
2,23,16
2,23,15
2,23,15
2,23,14
2,23,9
2,23,15
2,23,12
2,23,12
2,23,14
2,23,14
2,23,14
2,23,15
2,23,1
2,23,1
2,23,3
2,23,1
2,23,2
2,23,1
2,23,1
2,23,1
2,23,1
2,23,5
2,23,2
2,23,2
2,23,1
2,23,1
2,23,1
2,22,16
2,22,16
2,22,14
2,22,14
2,22,14
2,22,14
2,22,15
2,22,16
2,22,15
2,22,16
2,22,15
2,22,15
2,22,15
2,22,16
2,22,16
2,22,15
2,22,11
2,22,11
2,22,16
2,22,13
2,22,15
2,22,16
2,22,15
2,22,15
2,22,15
2,22,15
2,22,16
2,22,15
2,22,13
2,22,16
2,22,15
2,22,12
2,22,14
2,22,15
2,22,15
2,22,15
2,22,13
2,22,16
2,22,15
2,22,16
2,22,16
2,22,13
2,22,16
2,22,15
2,22,15
2,22,16
2,22,14
2,22,15
2,22,14
2,22,13
2,22,16
2,22,16
2,22,15
2,22,16
2,22,13
2,22,16
2,22,9
2,22,11
2,22,16
2,22,16
2,22,14
2,22,14
2,22,16
2,22,16
2,22,16
2,22,15
2,22,16
2,22,15
2,22,16
2,22,16
2,22,16
2,22,15
2,22,15
2,22,16
2,22,14
2,22,16
2,22,12
2,22,14
2,22,14
2,22,15
2,22,16
2,22,13
2,22,14
2,22,16
2,22,16
2,22,13
2,22,16
2,22,16
2,22,16
2,22,15
2,22,16
2,22,15
2,22,15
2,22,15
2,22,16
2,22,13
2,22,13
2,22,15
2,22,15
2,22,15
2,22,16
2,22,14
2,22,16
2,22,13
2,22,15
2,22,16
2,22,16
2,22,15
2,22,16
2,22,15
2,22,13
2,22,15
2,22,15
2,22,15
2,22,15
2,22,15
2,22,15
2,22,15
2,22,16
2,22,16
2,22,14
2,22,15
2,22,16
2,22,16
2,22,14
2,22,15
2,22,16
2,22,16
2,22,15
2,22,15
2,22,13
2,22,16
2,22,15
2,22,15
2,22,16
2,22,15
2,22,13
2,22,16
2,22,15
2,22,15
2,22,16
2,22,13
2,22,16
2,22,16
2,22,16
2,22,16
2,22,16
2,22,16
2,22,14
2,22,14
2,22,15
2,22,16
2,22,15
2,22,16
2,22,15
2,22,16
2,22,14
2,22,14
2,22,14
2,22,15
2,22,16
2,22,16
2,22,16
2,22,12
2,22,14
2,22,15
2,22,11
2,22,3
2,22,13
2,22,14
2,22,12
2,22,12
2,22,15
2,22,13
2,22,15
2,22,13
2,22,11
2,22,14
2,22,13
2,22,13
2,22,11
2,22,1
2,22,2
2,22,1
2,22,1
2,22,1
2,22,3
2,22,1
2,22,1
2,22,1
2,22,1
2,21,14
2,21,14
2,21,14
2,21,14
2,21,16
2,21,15
2,21,15
2,21,16
2,21,16
