*** Warning! With -c set to 15 or higher, some gene trees may take a very long time to reconcile!

#
# =========================================================================
# Welcome to GRAMPA -- Gene tree reconciliations with MUL-trees.
# Version 1.3.1 released on April 30, 2021
# GRAMPA was developed by Gregg Thomas, S. Hussain Ather, and Matthew Hahn
# Citation:      https://doi.org/10.1093/sysbio/syx044
# Website:       https://gwct.github.io/grampa/
# Report issues: https://github.com/gwct/grampa
#
# The date and time at the start is: 10.21.2022 | 18:15:28
# The program was called as: /n/home07/gthomas/projects/grampa/grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/chelicerate-19spec-astral-pro-rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-100-rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15 -c 15 -p 30
#
# 10.21.2022 | 18:15:28 INFO: Number of processes:...................................30
# 10.21.2022 | 18:15:28 --> Step 1: Reading species tree
# 10.21.2022 | 18:15:28 --> STEP 2 06.15.28: Parsing hybrid clades
# 10.21.2022 | 18:15:28 --> STEP 3 06.15.28: Counting MUL-trees
# 10.21.2022 | 18:15:28 --> STEP 4 06.15.28: Reading gene tree(s)
# 10.21.2022 | 18:15:29 INFO: The input species tree with internal nodes labeled.....((DMELA,BMORI)<1>,(((HLONG,ISCAP)<2>,(MOCCI,VDEST)<3>)<4>,(((TGIGA,CROTU)<5>,LPOLY)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,(SMIMO,((PTEPI,LHESP)<8>,((NCLAV,TANTI)<9>,ABRUE)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>
# 10.21.2022 | 18:15:29 INFO: Input species tree is..................................Singly-labeled
# 10.21.2022 | 18:15:29 INFO: No H1 node defined.....................................Searching all possible H1 nodes.
# 10.21.2022 | 18:15:29 INFO: No H2 node defined.....................................Searching all possible H2 nodes.
# 10.21.2022 | 18:15:29 INFO: Using gene trees in file.............................../n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-100-rooted.treefile
# 10.21.2022 | 18:15:29 INFO: Total gene trees.......................................6359
# 10.21.2022 | 18:15:29 INFO: Main results and logs will be written to file........../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_out.txt
# 10.21.2022 | 18:15:29 INFO: The number of groups for each tree will be calculated../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_checknums.txt
# 10.21.2022 | 18:15:29 INFO: Filtered trees will be saved (if necessary)............/n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_trees_filtered.txt
# 10.21.2022 | 18:15:29 INFO: Filtering gene trees with # of polyploid groups over...15
# 10.21.2022 | 18:15:29 INFO: Detailed results will be written to file.............../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r100-full-c15/grampa_det.txt
# 10.21.2022 | 18:15:29 INFO: Detailed output will contain...........................Reconciliation scores only
# 10.21.2022 | 18:15:29 --> STEP 5 06.15.29: Building 1187 MUL-tree(s)
# 10.21.2022 | 18:15:30 --> STEP 6 06.15.30: Checking gene tree groupings
# 10.21.2022 | 18:21:50 INFO: Filtered gene trees:...................................7
# 10.21.2022 | 18:21:50 INFO: Final gene tree count for reconciliations:.............6352
# STEP 7 06.21.50: Writing filtered gene trees to file.
# ----------------------------------------
# 10.21.2022 | 18:21:50 --> STEP 8 06.21.50: Beginning reconciliations.
# 10.21.2022 | 18:39:18 --> STEP 9 06.39.18: Getting maps for lowest scoring tree
# 10.21.2022 | 18:39:22 --> STEP 10 06.39.22: Writing output
# GT/MT combo	# dups	# losses	Total score
GT-3661 to MT-0	0	3	3
GT-3671 to MT-0	0	4	4
GT-3675 to MT-0	1	9	10
GT-3672 to MT-0	0	5	5
GT-3677 to MT-0	0	7	7
GT-3681 to MT-0	0	11	11
GT-3673 to MT-0	0	5	5
GT-3670 to MT-0	0	4	4
GT-3676 to MT-0	0	2	2
GT-3680 to MT-0	0	6	6
GT-3674 to MT-0	0	3	3
GT-3678 to MT-0	0	4	4
GT-3684 to MT-0	1	8	9
GT-3679 to MT-0	0	2	2
GT-3685 to MT-0	1	6	7
GT-3526 to MT-0	0	5	5
GT-3682 to MT-0	0	4	4
GT-3686 to MT-0	0	3	3
GT-3687 to MT-0	0	4	4
GT-3695 to MT-0	0	7	7
GT-3693 to MT-0	1	11	12
GT-3691 to MT-0	1	3	4
GT-3692 to MT-0	1	4	5
GT-3694 to MT-0	0	3	3
GT-3696 to MT-0	0	6	6
GT-3689 to MT-0	1	2	3
GT-3697 to MT-0	0	7	7
GT-3546 to MT-0	0	3	3
GT-3549 to MT-0	1	5	6
GT-3698 to MT-0	0	3	3
GT-3688 to MT-0	5	11	16
GT-3701 to MT-0	0	5	5
GT-3702 to MT-0	0	5	5
GT-3705 to MT-0	0	7	7
GT-3710 to MT-0	0	6	6
GT-3704 to MT-0	0	4	4
GT-3703 to MT-0	0	3	3
GT-3714 to MT-0	0	7	7
GT-3708 to MT-0	2	7	9
GT-3712 to MT-0	1	8	9
GT-3690 to MT-0	0	4	4
GT-3713 to MT-0	0	5	5
GT-3706 to MT-0	0	3	3
GT-3556 to MT-0	0	4	4
GT-3555 to MT-0	1	7	8
GT-3707 to MT-0	0	3	3
GT-3715 to MT-0	0	4	4
GT-3711 to MT-0	0	3	3
GT-3554 to MT-0	0	5	5
GT-3716 to MT-0	0	4	4
GT-3721 to MT-0	0	7	7
GT-3617 to MT-0	1	8	9
GT-3719 to MT-0	0	5	5
GT-3717 to MT-0	0	6	6
GT-3700 to MT-0	0	5	5
GT-3722 to MT-0	0	6	6
GT-3728 to MT-0	0	7	7
GT-3723 to MT-0	0	5	5
GT-3725 to MT-0	0	6	6
GT-3724 to MT-0	0	6	6
GT-3726 to MT-0	0	4	4
GT-3718 to MT-0	0	2	2
GT-3730 to MT-0	1	8	9
GT-3709 to MT-0	5	16	21
GT-3727 to MT-0	2	6	8
GT-3742 to MT-0	0	6	6
GT-3739 to MT-0	0	7	7
GT-3740 to MT-0	1	6	7
GT-3732 to MT-0	1	2	3
GT-3731 to MT-0	0	4	4
GT-3733 to MT-0	0	3	3
GT-3737 to MT-0	0	5	5
GT-3744 to MT-0	0	5	5
GT-3741 to MT-0	1	10	11
GT-3734 to MT-0	1	3	4
GT-3623 to MT-0	0	5	5
GT-3735 to MT-0	0	3	3
GT-3736 to MT-0	1	3	4
GT-3746 to MT-0	0	3	3
GT-3749 to MT-0	1	4	5
GT-3745 to MT-0	1	2	3
GT-3747 to MT-0	2	9	11
GT-3729 to MT-0	5	9	14
GT-3615 to MT-0	1	6	7
GT-3720 to MT-0	4	7	11
GT-3748 to MT-0	0	4	4
GT-3755 to MT-0	0	10	10
GT-3757 to MT-0	0	6	6
GT-3754 to MT-0	0	4	4
GT-3751 to MT-0	1	4	5
GT-3762 to MT-0	0	6	6
GT-3758 to MT-0	2	6	8
GT-3761 to MT-0	1	9	10
GT-3756 to MT-0	2	10	12
GT-3750 to MT-0	1	3	4
GT-3759 to MT-0	0	7	7
GT-3683 to MT-0	1	3	4
GT-3770 to MT-0	0	4	4
GT-3753 to MT-0	0	5	5
GT-3779 to MT-0	0	7	7
GT-3771 to MT-0	0	6	6
GT-3768 to MT-0	1	4	5
GT-3760 to MT-0	0	2	2
GT-3765 to MT-0	1	3	4
GT-3769 to MT-0	0	7	7
GT-3767 to MT-0	1	8	9
GT-3773 to MT-0	1	5	6
GT-3785 to MT-0	0	3	3
GT-3775 to MT-0	1	6	7
GT-3777 to MT-0	0	4	4
GT-3764 to MT-0	0	2	2
GT-3738 to MT-0	7	7	14
GT-3781 to MT-0	0	6	6
GT-3699 to MT-0	7	11	18
GT-3644 to MT-0	20	10	30
GT-3780 to MT-0	0	4	4
GT-3782 to MT-0	0	5	5
GT-3743 to MT-0	0	5	5
GT-3752 to MT-0	0	8	8
GT-3786 to MT-0	0	7	7
GT-3778 to MT-0	4	9	13
GT-3798 to MT-0	1	8	9
GT-3783 to MT-0	0	2	2
GT-3796 to MT-0	1	9	10
GT-3804 to MT-0	1	11	12
GT-3794 to MT-0	0	4	4
GT-3799 to MT-0	0	3	3
GT-3791 to MT-0	1	8	9
GT-3776 to MT-0	8	8	16
GT-3801 to MT-0	0	3	3
GT-3795 to MT-0	0	4	4
GT-3793 to MT-0	2	8	10
GT-3784 to MT-0	10	6	16
GT-3800 to MT-0	1	8	9
GT-3797 to MT-0	1	3	4
GT-3809 to MT-0	0	5	5
GT-3806 to MT-0	0	6	6
GT-3812 to MT-0	0	8	8
GT-3805 to MT-0	0	4	4
GT-3803 to MT-0	0	6	6
GT-3808 to MT-0	0	5	5
GT-3807 to MT-0	1	3	4
GT-3810 to MT-0	0	5	5
GT-3792 to MT-0	0	7	7
GT-3820 to MT-0	0	8	8
GT-3813 to MT-0	0	5	5
GT-3817 to MT-0	0	7	7
GT-3814 to MT-0	0	4	4
GT-3815 to MT-0	0	4	4
GT-3819 to MT-0	1	5	6
GT-3818 to MT-0	0	4	4
GT-3816 to MT-0	2	8	10
GT-3829 to MT-0	0	8	8
GT-3822 to MT-0	1	5	6
GT-3826 to MT-0	0	6	6
GT-3825 to MT-0	0	5	5
GT-3827 to MT-0	0	4	4
GT-3828 to MT-0	0	6	6
GT-3823 to MT-0	1	7	8
GT-3824 to MT-0	2	5	7
GT-3821 to MT-0	5	8	13
GT-3834 to MT-0	0	5	5
GT-3835 to MT-0	0	5	5
GT-3837 to MT-0	0	7	7
GT-3838 to MT-0	0	6	6
GT-3830 to MT-0	1	4	5
GT-3833 to MT-0	0	2	2
GT-3840 to MT-0	1	10	11
GT-3839 to MT-0	1	9	10
GT-3836 to MT-0	0	4	4
GT-3772 to MT-0	0	3	3
GT-3841 to MT-0	1	5	6
GT-3774 to MT-0	1	9	10
GT-3845 to MT-0	0	6	6
GT-3843 to MT-0	2	6	8
GT-3846 to MT-0	0	7	7
GT-3832 to MT-0	0	4	4
GT-3811 to MT-0	3	5	8
GT-3848 to MT-0	0	5	5
GT-3850 to MT-0	0	7	7
GT-3844 to MT-0	0	4	4
GT-3789 to MT-0	0	5	5
GT-3852 to MT-0	0	5	5
GT-3849 to MT-0	1	6	7
GT-3863 to MT-0	0	8	8
GT-3855 to MT-0	2	7	9
GT-3851 to MT-0	0	4	4
GT-3858 to MT-0	1	6	7
GT-3763 to MT-0	0	3	3
GT-3854 to MT-0	0	6	6
GT-3862 to MT-0	0	6	6
GT-3859 to MT-0	0	3	3
GT-3857 to MT-0	0	3	3
GT-3865 to MT-0	0	9	9
GT-3869 to MT-0	1	6	7
GT-3802 to MT-0	3	8	11
GT-3861 to MT-0	2	5	7
GT-3790 to MT-0	0	5	5
GT-3856 to MT-0	2	2	4
GT-3867 to MT-0	0	7	7
GT-3831 to MT-0	4	6	10
GT-3853 to MT-0	3	6	9
GT-3864 to MT-0	1	5	6
GT-3842 to MT-0	3	6	9
GT-3870 to MT-0	1	4	5
GT-3868 to MT-0	1	4	5
GT-3860 to MT-0	4	7	11
GT-3873 to MT-0	0	4	4
GT-3871 to MT-0	0	4	4
GT-3866 to MT-0	2	5	7
GT-3875 to MT-0	0	3	3
GT-3886 to MT-0	0	8	8
GT-3877 to MT-0	2	5	7
GT-3878 to MT-0	1	5	6
GT-3879 to MT-0	2	4	6
GT-3887 to MT-0	0	6	6
GT-3884 to MT-0	1	2	3
GT-3885 to MT-0	0	5	5
GT-3888 to MT-0	1	5	6
GT-3892 to MT-0	0	5	5
GT-3890 to MT-0	0	6	6
GT-3891 to MT-0	1	3	4
GT-3889 to MT-0	1	4	5
GT-3788 to MT-0	2	5	7
GT-3895 to MT-0	1	4	5
GT-3894 to MT-0	4	8	12
GT-3897 to MT-0	0	5	5
GT-3787 to MT-0	0	6	6
GT-3900 to MT-0	0	5	5
GT-3893 to MT-0	2	8	10
GT-3766 to MT-0	7	12	19
GT-3872 to MT-0	7	14	21
GT-3898 to MT-0	1	4	5
GT-3896 to MT-0	1	4	5
GT-3847 to MT-0	1	11	12
GT-3874 to MT-0	1	4	5
GT-3901 to MT-0	1	2	3
GT-3902 to MT-0	1	7	8
GT-3909 to MT-0	0	5	5
GT-3903 to MT-0	0	4	4
GT-3911 to MT-0	0	5	5
GT-3914 to MT-0	0	5	5
GT-3912 to MT-0	0	5	5
GT-3918 to MT-0	2	11	13
GT-3881 to MT-0	4	9	13
GT-3904 to MT-0	0	6	6
GT-3915 to MT-0	0	7	7
GT-3910 to MT-0	0	6	6
GT-3876 to MT-0	3	8	11
GT-3883 to MT-0	5	1	6
GT-3916 to MT-0	0	4	4
GT-3919 to MT-0	0	7	7
GT-3917 to MT-0	1	6	7
GT-3906 to MT-0	5	5	10
GT-3882 to MT-0	1	11	12
GT-3924 to MT-0	1	4	5
GT-3921 to MT-0	0	4	4
GT-3908 to MT-0	0	6	6
GT-3920 to MT-0	0	4	4
GT-3905 to MT-0	1	5	6
GT-3930 to MT-0	0	8	8
GT-3922 to MT-0	0	5	5
GT-3907 to MT-0	0	9	9
GT-3927 to MT-0	2	6	8
GT-3928 to MT-0	0	5	5
GT-3934 to MT-0	0	6	6
GT-3929 to MT-0	10	11	21
GT-3880 to MT-0	6	13	19
GT-3923 to MT-0	1	6	7
GT-3937 to MT-0	1	6	7
GT-3939 to MT-0	0	4	4
GT-3899 to MT-0	1	7	8
GT-3932 to MT-0	0	7	7
GT-3941 to MT-0	0	4	4
GT-3913 to MT-0	8	2	10
GT-3944 to MT-0	1	8	9
GT-3936 to MT-0	0	4	4
GT-3961 to MT-0	0	5	5
GT-3946 to MT-0	1	8	9
GT-3926 to MT-0	1	4	5
GT-3949 to MT-0	1	6	7
GT-3945 to MT-0	1	6	7
GT-3942 to MT-0	0	6	6
GT-3951 to MT-0	0	5	5
GT-3948 to MT-0	0	5	5
GT-3925 to MT-0	0	5	5
GT-3940 to MT-0	0	4	4
GT-3952 to MT-0	0	5	5
GT-3967 to MT-0	0	9	9
GT-3931 to MT-0	1	8	9
GT-3957 to MT-0	0	9	9
GT-3938 to MT-0	3	4	7
GT-3954 to MT-0	0	5	5
GT-3935 to MT-0	0	4	4
GT-3943 to MT-0	3	6	9
GT-3956 to MT-0	0	7	7
GT-3953 to MT-0	3	11	14
GT-3933 to MT-0	0	3	3
GT-3958 to MT-0	2	13	15
GT-3962 to MT-0	2	9	11
GT-3955 to MT-0	3	8	11
GT-3979 to MT-0	0	6	6
GT-3959 to MT-0	1	11	12
GT-3950 to MT-0	1	7	8
GT-3965 to MT-0	0	7	7
GT-3969 to MT-0	0	5	5
GT-3968 to MT-0	0	5	5
GT-3963 to MT-0	0	6	6
GT-3972 to MT-0	0	5	5
GT-3975 to MT-0	0	7	7
GT-3966 to MT-0	0	5	5
GT-3973 to MT-0	3	7	10
GT-3978 to MT-0	0	5	5
GT-3971 to MT-0	1	9	10
GT-3976 to MT-0	0	3	3
GT-3982 to MT-0	0	7	7
GT-3999 to MT-0	1	12	13
GT-3981 to MT-0	1	6	7
GT-3984 to MT-0	0	6	6
GT-3983 to MT-0	0	6	6
GT-3988 to MT-0	1	9	10
GT-3998 to MT-0	0	7	7
GT-3989 to MT-0	1	7	8
GT-3986 to MT-0	0	4	4
GT-3991 to MT-0	1	7	8
GT-3997 to MT-0	0	5	5
GT-3994 to MT-0	1	6	7
GT-3970 to MT-0	2	4	6
GT-3995 to MT-0	0	5	5
GT-3980 to MT-0	1	6	7
GT-3990 to MT-0	1	4	5
GT-3987 to MT-0	1	6	7
GT-3992 to MT-0	2	5	7
GT-3960 to MT-0	0	4	4
GT-3996 to MT-0	1	4	5
GT-3974 to MT-0	0	6	6
GT-4000 to MT-0	2	11	13
GT-3993 to MT-0	0	5	5
GT-4002 to MT-0	1	7	8
GT-4007 to MT-0	0	6	6
GT-3977 to MT-0	6	11	17
GT-4004 to MT-0	3	19	22
GT-4003 to MT-0	1	10	11
GT-4006 to MT-0	0	5	5
GT-3947 to MT-0	0	6	6
GT-4001 to MT-0	0	3	3
GT-4013 to MT-0	3	9	12
GT-4009 to MT-0	0	3	3
GT-4012 to MT-0	0	6	6
GT-4010 to MT-0	0	5	5
GT-4011 to MT-0	1	7	8
GT-3985 to MT-0	4	4	8
GT-4005 to MT-0	5	11	16
GT-4018 to MT-0	0	8	8
GT-4030 to MT-0	0	4	4
GT-4015 to MT-0	0	3	3
GT-4019 to MT-0	0	5	5
GT-4037 to MT-0	0	6	6
GT-4021 to MT-0	0	7	7
GT-4017 to MT-0	1	7	8
GT-4020 to MT-0	1	6	7
GT-4038 to MT-0	0	3	3
GT-4025 to MT-0	0	7	7
GT-4023 to MT-0	0	5	5
GT-4024 to MT-0	0	4	4
GT-4027 to MT-0	1	6	7
GT-4026 to MT-0	0	5	5
GT-4028 to MT-0	0	4	4
GT-4033 to MT-0	0	5	5
GT-4032 to MT-0	2	10	12
GT-4008 to MT-0	0	4	4
GT-4052 to MT-0	0	6	6
GT-4050 to MT-0	0	7	7
GT-4016 to MT-0	2	5	7
GT-4014 to MT-0	3	9	12
GT-4035 to MT-0	0	3	3
GT-4036 to MT-0	1	9	10
GT-3964 to MT-0	6	7	13
GT-4029 to MT-0	7	10	17
GT-4040 to MT-0	3	5	8
GT-4039 to MT-0	2	3	5
GT-4042 to MT-0	0	7	7
GT-4048 to MT-0	0	9	9
GT-4043 to MT-0	2	9	11
GT-4041 to MT-0	0	3	3
GT-4046 to MT-0	0	4	4
GT-4045 to MT-0	0	3	3
GT-4049 to MT-0	0	4	4
GT-4022 to MT-0	3	8	11
GT-4051 to MT-0	0	6	6
GT-4064 to MT-0	0	3	3
GT-4034 to MT-0	1	3	4
GT-4044 to MT-0	0	3	3
GT-4057 to MT-0	0	9	9
GT-4054 to MT-0	1	7	8
GT-4053 to MT-0	0	3	3
GT-4058 to MT-0	0	6	6
GT-4055 to MT-0	0	4	4
GT-4056 to MT-0	0	3	3
GT-4060 to MT-0	1	5	6
GT-4062 to MT-0	1	7	8
GT-4059 to MT-0	1	5	6
GT-4063 to MT-0	0	4	4
GT-4065 to MT-0	2	8	10
GT-4070 to MT-0	0	9	9
GT-4069 to MT-0	1	7	8
GT-4067 to MT-0	0	5	5
GT-4087 to MT-0	0	7	7
GT-4073 to MT-0	1	9	10
GT-4068 to MT-0	2	11	13
GT-4071 to MT-0	2	8	10
GT-4072 to MT-0	0	4	4
GT-4076 to MT-0	0	7	7
GT-4078 to MT-0	0	8	8
GT-4066 to MT-0	1	8	9
GT-4075 to MT-0	0	7	7
GT-4074 to MT-0	0	4	4
GT-4061 to MT-0	1	5	6
GT-4079 to MT-0	0	6	6
GT-4081 to MT-0	0	6	6
GT-4083 to MT-0	1	7	8
GT-4093 to MT-0	0	3	3
GT-4085 to MT-0	0	6	6
GT-4084 to MT-0	2	10	12
GT-4031 to MT-0	2	6	8
GT-4086 to MT-0	1	6	7
GT-4088 to MT-0	0	5	5
GT-4077 to MT-0	1	4	5
GT-4082 to MT-0	1	6	7
GT-4091 to MT-0	0	3	3
GT-4094 to MT-0	0	6	6
GT-4089 to MT-0	0	2	2
GT-4092 to MT-0	0	3	3
GT-4080 to MT-0	1	10	11
GT-4096 to MT-0	1	9	10
GT-4097 to MT-0	0	4	4
GT-4100 to MT-0	1	11	12
GT-4099 to MT-0	0	4	4
GT-4101 to MT-0	0	6	6
GT-4098 to MT-0	0	2	2
GT-4095 to MT-0	1	3	4
GT-4103 to MT-0	0	8	8
GT-4105 to MT-0	0	4	4
GT-4108 to MT-0	0	7	7
GT-4113 to MT-0	1	6	7
GT-4112 to MT-0	0	4	4
GT-4115 to MT-0	0	4	4
GT-4107 to MT-0	0	3	3
GT-4110 to MT-0	1	7	8
GT-4102 to MT-0	0	8	8
GT-4120 to MT-0	1	4	5
GT-4124 to MT-0	0	3	3
GT-4104 to MT-0	0	3	3
GT-4116 to MT-0	0	3	3
GT-4121 to MT-0	1	6	7
GT-4125 to MT-0	0	5	5
GT-4106 to MT-0	1	3	4
GT-4122 to MT-0	0	6	6
GT-4111 to MT-0	0	9	9
GT-4117 to MT-0	2	6	8
GT-4123 to MT-0	2	8	10
GT-4090 to MT-0	1	6	7
GT-4127 to MT-0	0	6	6
GT-4132 to MT-0	0	4	4
GT-4126 to MT-0	0	5	5
GT-4134 to MT-0	1	7	8
GT-4119 to MT-0	0	4	4
GT-4047 to MT-0	29	12	41
GT-4118 to MT-0	4	14	18
GT-4135 to MT-0	0	7	7
GT-4129 to MT-0	2	4	6
GT-4131 to MT-0	0	4	4
GT-4133 to MT-0	0	3	3
GT-4138 to MT-0	0	7	7
GT-4114 to MT-0	1	5	6
GT-4136 to MT-0	0	5	5
GT-4109 to MT-0	6	6	12
GT-4139 to MT-0	0	6	6
GT-4140 to MT-0	0	6	6
GT-4159 to MT-0	0	8	8
GT-4141 to MT-0	0	5	5
GT-4144 to MT-0	0	4	4
GT-4147 to MT-0	0	7	7
GT-4143 to MT-0	1	5	6
GT-4142 to MT-0	0	4	4
GT-4153 to MT-0	0	8	8
GT-4149 to MT-0	1	6	7
GT-4146 to MT-0	5	7	12
GT-4148 to MT-0	0	5	5
GT-4145 to MT-0	0	3	3
GT-4137 to MT-0	2	6	8
GT-4175 to MT-0	0	4	4
GT-4150 to MT-0	2	8	10
GT-4152 to MT-0	2	7	9
GT-4154 to MT-0	1	8	9
GT-4130 to MT-0	0	7	7
GT-4157 to MT-0	1	12	13
GT-4156 to MT-0	1	8	9
GT-4158 to MT-0	1	8	9
GT-4164 to MT-0	0	7	7
GT-4128 to MT-0	7	8	15
GT-4160 to MT-0	1	6	7
GT-4161 to MT-0	0	6	6
GT-4155 to MT-0	2	9	11
GT-4166 to MT-0	0	9	9
GT-4167 to MT-0	0	7	7
GT-4163 to MT-0	0	4	4
GT-4162 to MT-0	0	5	5
GT-4172 to MT-0	0	8	8
GT-4188 to MT-0	0	10	10
GT-4165 to MT-0	1	4	5
GT-4169 to MT-0	0	4	4
GT-4168 to MT-0	0	3	3
GT-4174 to MT-0	0	7	7
GT-4170 to MT-0	0	4	4
GT-4192 to MT-0	1	11	12
GT-4173 to MT-0	0	4	4
GT-4180 to MT-0	0	8	8
GT-4178 to MT-0	0	6	6
GT-4179 to MT-0	0	6	6
GT-4177 to MT-0	0	4	4
GT-4171 to MT-0	1	13	14
GT-4183 to MT-0	0	7	7
GT-4176 to MT-0	3	4	7
GT-4185 to MT-0	0	4	4
GT-4186 to MT-0	1	4	5
GT-4189 to MT-0	1	7	8
GT-4187 to MT-0	2	8	10
GT-4151 to MT-0	0	4	4
GT-4190 to MT-0	0	3	3
GT-4181 to MT-0	1	6	7
GT-4204 to MT-0	1	8	9
GT-4196 to MT-0	1	11	12
GT-4191 to MT-0	0	4	4
GT-4193 to MT-0	2	11	13
GT-4208 to MT-0	0	6	6
GT-4194 to MT-0	1	4	5
GT-4197 to MT-0	2	5	7
GT-4199 to MT-0	0	3	3
GT-4202 to MT-0	0	3	3
GT-4200 to MT-0	0	4	4
GT-4201 to MT-0	0	7	7
GT-4184 to MT-0	1	4	5
GT-4211 to MT-0	0	4	4
GT-4195 to MT-0	0	5	5
GT-4215 to MT-0	0	4	4
GT-4220 to MT-0	1	6	7
GT-4216 to MT-0	0	3	3
GT-4214 to MT-0	1	6	7
GT-4206 to MT-0	0	3	3
GT-4205 to MT-0	0	8	8
GT-4223 to MT-0	1	7	8
GT-4221 to MT-0	0	5	5
GT-4212 to MT-0	0	7	7
GT-4222 to MT-0	0	4	4
GT-4182 to MT-0	5	5	10
GT-4209 to MT-0	0	8	8
GT-4210 to MT-0	2	12	14
GT-4230 to MT-0	0	7	7
GT-4225 to MT-0	0	4	4
GT-4198 to MT-0	3	13	16
GT-4227 to MT-0	0	6	6
GT-4229 to MT-0	0	7	7
GT-4232 to MT-0	0	6	6
GT-4224 to MT-0	4	11	15
GT-4228 to MT-0	1	6	7
GT-4236 to MT-0	1	6	7
GT-4217 to MT-0	1	4	5
GT-4203 to MT-0	0	3	3
GT-4234 to MT-0	0	7	7
GT-4239 to MT-0	0	6	6
GT-4237 to MT-0	0	7	7
GT-4207 to MT-0	5	7	12
GT-4238 to MT-0	0	4	4
GT-4218 to MT-0	2	10	12
GT-4213 to MT-0	0	5	5
GT-4226 to MT-0	0	2	2
GT-4241 to MT-0	1	9	10
GT-4231 to MT-0	0	5	5
GT-4240 to MT-0	0	3	3
GT-4235 to MT-0	0	6	6
GT-4244 to MT-0	1	7	8
GT-4250 to MT-0	0	7	7
GT-4242 to MT-0	1	2	3
GT-4245 to MT-0	0	6	6
GT-4252 to MT-0	2	5	7
GT-4233 to MT-0	0	8	8
GT-4247 to MT-0	0	4	4
GT-4253 to MT-0	0	9	9
GT-4249 to MT-0	1	4	5
GT-4246 to MT-0	0	3	3
GT-4255 to MT-0	0	7	7
GT-4254 to MT-0	0	4	4
GT-4262 to MT-0	0	6	6
GT-4268 to MT-0	0	7	7
GT-4265 to MT-0	0	4	4
GT-4264 to MT-0	1	8	9
GT-4266 to MT-0	0	6	6
GT-4259 to MT-0	0	4	4
GT-4263 to MT-0	0	4	4
GT-4271 to MT-0	1	7	8
GT-4275 to MT-0	0	6	6
GT-4269 to MT-0	1	4	5
GT-4274 to MT-0	0	7	7
GT-4273 to MT-0	0	5	5
GT-4272 to MT-0	0	3	3
GT-4257 to MT-0	0	3	3
GT-4260 to MT-0	4	9	13
GT-4280 to MT-0	0	5	5
GT-4281 to MT-0	0	5	5
GT-4261 to MT-0	0	5	5
GT-4276 to MT-0	0	4	4
GT-4251 to MT-0	1	5	6
GT-4282 to MT-0	0	6	6
GT-4277 to MT-0	0	4	4
GT-4243 to MT-0	7	6	13
GT-4288 to MT-0	0	6	6
GT-4258 to MT-0	1	10	11
GT-4278 to MT-0	3	7	10
GT-4267 to MT-0	0	7	7
GT-4285 to MT-0	0	3	3
GT-4270 to MT-0	3	13	16
GT-4256 to MT-0	3	7	10
GT-4279 to MT-0	1	6	7
GT-4284 to MT-0	0	8	8
GT-4293 to MT-0	0	5	5
GT-4289 to MT-0	1	4	5
GT-4291 to MT-0	0	5	5
GT-4286 to MT-0	0	4	4
GT-4283 to MT-0	0	4	4
GT-4292 to MT-0	2	7	9
GT-4248 to MT-0	0	7	7
GT-4287 to MT-0	5	8	13
GT-4295 to MT-0	0	7	7
GT-4307 to MT-0	1	5	6
GT-4294 to MT-0	1	9	10
GT-4290 to MT-0	0	3	3
GT-4297 to MT-0	0	5	5
GT-4296 to MT-0	0	4	4
GT-4302 to MT-0	0	6	6
GT-4301 to MT-0	1	7	8
GT-4298 to MT-0	0	4	4
GT-4304 to MT-0	0	7	7
GT-4306 to MT-0	0	7	7
GT-4303 to MT-0	0	4	4
GT-4299 to MT-0	1	6	7
GT-4305 to MT-0	3	5	8
GT-4312 to MT-0	0	7	7
GT-4310 to MT-0	0	7	7
GT-4308 to MT-0	0	7	7
GT-4309 to MT-0	1	3	4
GT-4316 to MT-0	1	8	9
GT-4300 to MT-0	0	8	8
GT-4323 to MT-0	0	8	8
GT-4311 to MT-0	1	4	5
GT-4318 to MT-0	0	4	4
GT-4315 to MT-0	1	4	5
GT-4314 to MT-0	0	3	3
GT-4321 to MT-0	0	6	6
GT-4330 to MT-0	0	5	5
GT-4324 to MT-0	0	6	6
GT-4319 to MT-0	0	4	4
GT-4317 to MT-0	0	3	3
GT-4320 to MT-0	0	6	6
GT-4325 to MT-0	1	8	9
GT-4322 to MT-0	0	5	5
GT-4336 to MT-0	0	4	4
GT-4327 to MT-0	0	5	5
GT-4328 to MT-0	1	7	8
